1365778029.443,55.3739580200,10.3983735717,1,7,1.46
1365778029.644,55.3739580967,10.3983736067,1,7,1.46
1365778029.843,55.3739581467,10.3983735700,1,7,1.46
1365778030.043,55.3739582183,10.3983735417,1,7,1.46
1365778030.243,55.3739582767,10.3983735100,1,7,1.46
1365778030.444,55.3739583233,10.3983735267,1,7,1.46
1365778030.644,55.3739583283,10.3983734717,1,7,1.46
1365778030.844,55.3739583350,10.3983734100,1,7,1.46
1365778031.044,55.3739583317,10.3983734267,1,7,1.46
1365778031.244,55.3739583867,10.3983734483,1,7,1.46
1365778031.444,55.3739583683,10.3983734600,1,7,1.46
1365778031.644,55.3739583967,10.3983734400,1,7,1.46
1365778031.843,55.3739584383,10.3983735367,1,7,1.46
1365778032.043,55.3739584783,10.3983735233,1,7,1.46
1365778032.243,55.3739585150,10.3983736050,1,7,1.46
1365778032.444,55.3739585467,10.3983736317,1,7,1.46
1365778032.644,55.3739585900,10.3983736917,1,7,1.46
1365778032.844,55.3739586317,10.3983736850,1,7,1.46
1365778033.043,55.3739586700,10.3983737050,1,7,1.46
1365778033.243,55.3739587300,10.3983737583,1,7,1.46
1365778033.443,55.3739587750,10.3983737033,1,7,1.46
1365778033.644,55.3739587983,10.3983737200,1,7,1.46
1365778033.844,55.3739588083,10.3983736017,1,7,1.46
1365778034.043,55.3739587883,10.3983736133,1,7,1.46
1365778034.243,55.3739586850,10.3983736983,1,7,1.46
1365778034.443,55.3739585767,10.3983739200,1,7,1.46
1365778034.644,55.3739584117,10.3983740533,1,7,1.46
1365778034.843,55.3739581267,10.3983741200,1,7,1.46
1365778035.043,55.3739576767,10.3983743133,1,7,1.46
1365778035.243,55.3739574183,10.3983744067,1,7,1.46
1365778035.444,55.3739570100,10.3983745250,1,7,1.46
1365778035.644,55.3739564867,10.3983746333,1,7,1.46
1365778035.843,55.3739560133,10.3983746050,1,7,1.46
1365778036.043,55.3739557983,10.3983745433,1,7,1.46
1365778036.244,55.3739554433,10.3983744100,1,7,1.46
1365778036.443,55.3739550433,10.3983743767,1,7,1.46
1365778036.644,55.3739545800,10.3983743783,1,7,1.46
1365778036.846,55.3739543083,10.3983748283,1,11,1.26
1365778037.047,55.3739538233,10.3983748050,1,11,1.26
1365778037.247,55.3739533633,10.3983748467,1,11,1.26
1365778037.446,55.3739526100,10.3983747900,1,11,1.26
1365778037.647,55.3739516600,10.3983747983,1,11,1.26
1365778037.846,55.3739508767,10.3983747233,1,11,1.26
1365778038.047,55.3739500550,10.3983748733,1,11,1.26
1365778038.247,55.3739490217,10.3983748183,1,11,1.26
1365778038.447,55.3739483933,10.3983746617,1,11,1.26
1365778038.647,55.3739476450,10.3983748183,1,11,1.26
1365778038.847,55.3739468717,10.3983748667,1,11,1.26
1365778039.046,55.3739463450,10.3983749250,1,11,1.26
1365778039.247,55.3739459900,10.3983744333,1,11,1.26
1365778039.447,55.3739450850,10.3983745983,1,11,1.26
1365778039.647,55.3739445733,10.3983746850,1,11,1.26
1365778039.847,55.3739439433,10.3983744017,1,11,1.26
1365778040.046,55.3739432983,10.3983745017,1,11,1.26
1365778040.246,55.3739425950,10.3983747683,1,11,1.26
