1366891443.098,55.3736274267,10.4010350217,588784.2989,6137262.9004,4,7,1.00
1366891443.289,55.3736274300,10.4010350250,588784.2991,6137262.9007,4,7,1.00
1366891443.490,55.3736274433,10.4010350300,588784.2993,6137262.9022,4,7,1.00
1366891443.692,55.3736274267,10.4010350200,588784.2987,6137262.9004,4,7,1.00
1366891443.903,55.3736274233,10.4010350217,588784.2989,6137262.9000,4,7,1.00
1366891444.104,55.3736274467,10.4010350250,588784.2990,6137262.9026,4,7,1.00
1366891444.306,55.3736274633,10.4010350083,588784.2979,6137262.9044,4,7,1.00
1366891444.497,55.3736274500,10.4010350117,588784.2982,6137262.9030,4,7,1.00
1366891444.698,55.3736274617,10.4010350383,588784.2998,6137262.9043,4,7,1.00
1366891444.900,55.3736274567,10.4010350100,588784.2980,6137262.9037,4,7,1.00
1366891445.101,55.3736274300,10.4010350300,588784.2994,6137262.9008,4,7,1.00
1366891445.293,55.3736274333,10.4010350300,588784.2994,6137262.9011,4,7,1.00
1366891445.494,55.3736274250,10.4010350200,588784.2988,6137262.9002,4,7,1.00
1366891445.695,55.3736274300,10.4010350083,588784.2980,6137262.9007,4,7,1.00
1366891445.907,55.3736274233,10.4010350217,588784.2989,6137262.9000,4,7,1.00
1366891446.108,55.3736274350,10.4010349950,588784.2971,6137262.9013,4,7,1.00
1366891446.289,55.3736274267,10.4010350017,588784.2976,6137262.9003,4,7,1.00
1366891446.490,55.3736274300,10.4010350183,588784.2986,6137262.9007,4,7,1.00
1366891446.692,55.3736274317,10.4010350217,588784.2988,6137262.9009,4,7,1.00
1366891446.893,55.3736274233,10.4010350250,588784.2991,6137262.9000,4,7,1.00
1366891447.104,55.3736274233,10.4010350133,588784.2983,6137262.9000,4,7,1.00
1366891447.296,55.3736274250,10.4010350283,588784.2993,6137262.9002,4,7,1.00
1366891447.487,55.3736274383,10.4010350183,588784.2986,6137262.9017,4,7,1.00
1366891447.698,55.3736274400,10.4010350167,588784.2985,6137262.9019,4,7,1.00
1366891447.889,55.3736274367,10.4010350133,588784.2983,6137262.9015,4,7,1.00
1366891448.121,55.3736274383,10.4010350350,588784.2997,6137262.9017,4,7,1.00
1366891448.312,55.3736274433,10.4010350500,588784.3006,6137262.9023,4,7,1.00
1366891448.493,55.3736274300,10.4010350617,588784.3014,6137262.9008,4,7,1.00
1366891448.694,55.3736274300,10.4010350417,588784.3001,6137262.9008,4,7,1.00
1366891448.886,55.3736274450,10.4010350517,588784.3007,6137262.9025,4,7,1.00
1366891449.107,55.3736274017,10.4010350650,588784.3017,6137262.8976,4,7,1.00
1366891449.298,55.3736274300,10.4010350500,588784.3006,6137262.9008,4,7,1.00
1366891449.509,55.3736274267,10.4010350617,588784.3014,6137262.9004,4,7,1.00
1366891449.691,55.3736274217,10.4010350667,588784.3017,6137262.8999,4,7,1.00
1366891449.902,55.3736274100,10.4010350283,588784.2993,6137262.8985,4,7,1.00
1366891450.103,55.3736274400,10.4010350600,588784.3013,6137262.9019,4,7,1.00
1366891450.305,55.3736274317,10.4010350667,588784.3017,6137262.9010,4,7,1.00
1366891450.506,55.3736274333,10.4010350733,588784.3021,6137262.9012,4,7,1.00
1366891450.697,55.3736274233,10.4010350600,588784.3013,6137262.9001,4,7,1.00
1366891450.899,55.3736274183,10.4010350650,588784.3016,6137262.8995,4,7,1.00
1366891451.100,55.3736274117,10.4010350233,588784.2990,6137262.8987,4,7,1.00
1366891451.291,55.3736274450,10.4010350400,588784.3000,6137262.9024,4,7,1.00
1366891451.503,55.3736274267,10.4010350350,588784.2997,6137262.9004,4,7,1.00
1366891451.704,55.3736274133,10.4010350217,588784.2989,6137262.8989,4,7,1.00
1366891451.905,55.3736274300,10.4010350367,588784.2998,6137262.9008,4,7,1.00
1366891452.107,55.3736274183,10.4010350983,588784.3037,6137262.8995,4,7,1.00
1366891452.308,55.3736274217,10.4010350983,588784.3037,6137262.8999,4,7,1.00
1366891452.510,55.3736274217,10.4010350833,588784.3028,6137262.8999,4,7,1.00
1366891452.701,55.3736274183,10.4010350817,588784.3027,6137262.8995,4,7,1.00
1366891452.902,55.3736274067,10.4010350533,588784.3009,6137262.8982,4,7,1.00
1366891453.093,55.3736274317,10.4010350617,588784.3014,6137262.9010,4,7,1.00
1366891453.305,55.3736274317,10.4010350683,588784.3018,6137262.9010,4,7,1.00
1366891453.496,55.3736274267,10.4010350500,588784.3006,6137262.9004,4,7,1.00
1366891453.697,55.3736274200,10.4010350500,588784.3007,6137262.8997,4,7,1.00
1366891453.908,55.3736274183,10.4010350450,588784.3003,6137262.8995,4,7,1.00
1366891454.120,55.3736274133,10.4010351050,588784.3042,6137262.8990,4,7,1.00
1366891454.291,55.3736274000,10.4010350667,588784.3018,6137262.8975,4,7,1.00
1366891454.512,55.3736274133,10.4010350833,588784.3028,6137262.8990,4,7,1.00
1366891454.704,55.3736274200,10.4010350783,588784.3025,6137262.8997,4,7,1.00
1366891454.905,55.3736273967,10.4010350750,588784.3023,6137262.8971,4,7,1.00
1366891455.116,55.3736274367,10.4010350567,588784.3010,6137262.9015,4,7,1.00
1366891455.307,55.3736274183,10.4010350817,588784.3027,6137262.8995,4,7,1.00
1366891455.499,55.3736274033,10.4010350683,588784.3019,6137262.8978,4,7,1.00
1366891455.700,55.3736273983,10.4010350733,588784.3022,6137262.8973,4,7,1.00
1366891455.901,55.3736273983,10.4010350917,588784.3034,6137262.8973,4,7,1.00
1366891456.113,55.3736273983,10.4010350667,588784.3018,6137262.8973,4,7,1.00
