1	588847.7140	6137215.4254	588847.2102	6137212.8747	588851.1344	6137212.0997	588851.6382	6137214.6504
2	588843.7898	6137216.2005	588843.2860	6137213.6498	588847.2102	6137212.8747	588847.7140	6137215.4254
3	588839.8656	6137216.9756	588839.3618	6137214.4248	588843.2860	6137213.6498	588843.7898	6137216.2005
4	588835.9414	6137217.7506	588835.4376	6137215.1999	588839.3618	6137214.4248	588839.8656	6137216.9756
5	588832.0172	6137218.5257	588831.5134	6137215.9750	588835.4376	6137215.1999	588835.9414	6137217.7506
6	588828.0930	6137219.3008	588827.5892	6137216.7500	588831.5134	6137215.9750	588832.0172	6137218.5257
7	588824.1688	6137220.0758	588823.6650	6137217.5251	588827.5892	6137216.7500	588828.0930	6137219.3008
8	588820.2446	6137220.8509	588819.7408	6137218.3002	588823.6650	6137217.5251	588824.1688	6137220.0758
9	588816.3204	6137221.6260	588815.8166	6137219.0752	588819.7408	6137218.3002	588820.2446	6137220.8509
10	588812.3962	6137222.4010	588811.8925	6137219.8503	588815.8166	6137219.0752	588816.3204	6137221.6260
11	588808.4721	6137223.1761	588807.9683	6137220.6254	588811.8925	6137219.8503	588812.3962	6137222.4010
12	588804.5479	6137223.9512	588804.0441	6137221.4004	588807.9683	6137220.6254	588808.4721	6137223.1761
13	588800.6237	6137224.7262	588800.1199	6137222.1755	588804.0441	6137221.4004	588804.5479	6137223.9512
14	588796.6995	6137225.5013	588796.1957	6137222.9506	588800.1199	6137222.1755	588800.6237	6137224.7262
15	588792.7753	6137226.2764	588792.2715	6137223.7256	588796.1957	6137222.9506	588796.6995	6137225.5013
16	588788.8511	6137227.0514	588788.3473	6137224.5007	588792.2715	6137223.7256	588792.7753	6137226.2764
17	588784.9269	6137227.8265	588784.4231	6137225.2758	588788.3473	6137224.5007	588788.8511	6137227.0514
18	588781.0027	6137228.6016	588780.4989	6137226.0508	588784.4231	6137225.2758	588784.9269	6137227.8265
19	588848.0783	6137218.0292	588847.5745	6137215.4785	588851.4987	6137214.7034	588852.0025	6137217.2541
20	588844.1541	6137218.8043	588843.6503	6137216.2535	588847.5745	6137215.4785	588848.0783	6137218.0292
21	588840.2299	6137219.5793	588839.7261	6137217.0286	588843.6503	6137216.2535	588844.1541	6137218.8043
22	588836.3057	6137220.3544	588835.8019	6137217.8037	588839.7261	6137217.0286	588840.2299	6137219.5793
23	588832.3815	6137221.1295	588831.8777	6137218.5787	588835.8019	6137217.8037	588836.3057	6137220.3544
24	588828.4573	6137221.9045	588827.9535	6137219.3538	588831.8777	6137218.5787	588832.3815	6137221.1295
25	588824.5331	6137222.6796	588824.0293	6137220.1289	588827.9535	6137219.3538	588828.4573	6137221.9045
26	588820.6089	6137223.4547	588820.1052	6137220.9039	588824.0293	6137220.1289	588824.5331	6137222.6796
27	588816.6848	6137224.2297	588816.1810	6137221.6790	588820.1052	6137220.9039	588820.6089	6137223.4547
28	588812.7606	6137225.0048	588812.2568	6137222.4541	588816.1810	6137221.6790	588816.6848	6137224.2297
29	588808.8364	6137225.7799	588808.3326	6137223.2291	588812.2568	6137222.4541	588812.7606	6137225.0048
30	588804.9122	6137226.5549	588804.4084	6137224.0042	588808.3326	6137223.2291	588808.8364	6137225.7799
31	588800.9880	6137227.3300	588800.4842	6137224.7793	588804.4084	6137224.0042	588804.9122	6137226.5549
32	588797.0638	6137228.1051	588796.5600	6137225.5543	588800.4842	6137224.7793	588800.9880	6137227.3300
33	588793.1396	6137228.8801	588792.6358	6137226.3294	588796.5600	6137225.5543	588797.0638	6137228.1051
34	588789.2154	6137229.6552	588788.7116	6137227.1045	588792.6358	6137226.3294	588793.1396	6137228.8801
35	588785.2912	6137230.4303	588784.7874	6137227.8795	588788.7116	6137227.1045	588789.2154	6137229.6552
36	588781.3670	6137231.2053	588780.8632	6137228.6546	588784.7874	6137227.8795	588785.2912	6137230.4303
37	588848.4426	6137220.6329	588847.9388	6137218.0822	588851.8630	6137217.3072	588852.3668	6137219.8579
38	588844.5184	6137221.4080	588844.0146	6137218.8573	588847.9388	6137218.0822	588848.4426	6137220.6329
39	588840.5942	6137222.1831	588840.0904	6137219.6324	588844.0146	6137218.8573	588844.5184	6137221.4080
40	588836.6700	6137222.9581	588836.1662	6137220.4074	588840.0904	6137219.6324	588840.5942	6137222.1831
41	588832.7458	6137223.7332	588832.2420	6137221.1825	588836.1662	6137220.4074	588836.6700	6137222.9581
42	588828.8216	6137224.5083	588828.3179	6137221.9576	588832.2420	6137221.1825	588832.7458	6137223.7332
43	588824.8975	6137225.2833	588824.3937	6137222.7326	588828.3179	6137221.9576	588828.8216	6137224.5083
44	588820.9733	6137226.0584	588820.4695	6137223.5077	588824.3937	6137222.7326	588824.8975	6137225.2833
45	588817.0491	6137226.8335	588816.5453	6137224.2828	588820.4695	6137223.5077	588820.9733	6137226.0584
46	588813.1249	6137227.6085	588812.6211	6137225.0578	588816.5453	6137224.2828	588817.0491	6137226.8335
47	588809.2007	6137228.3836	588808.6969	6137225.8329	588812.6211	6137225.0578	588813.1249	6137227.6085
48	588805.2765	6137229.1587	588804.7727	6137226.6080	588808.6969	6137225.8329	588809.2007	6137228.3836
49	588801.3523	6137229.9337	588800.8485	6137227.3830	588804.7727	6137226.6080	588805.2765	6137229.1587
50	588797.4281	6137230.7088	588796.9243	6137228.1581	588800.8485	6137227.3830	588801.3523	6137229.9337
51	588793.5039	6137231.4839	588793.0001	6137228.9332	588796.9243	6137228.1581	588797.4281	6137230.7088
