1	651189.9052	6133639.5735	651188.9047	6133636.7452	651192.6757	6133635.4112	651193.6762	6133638.2395
2	651186.1341	6133640.9074	651185.1337	6133638.0791	651188.9047	6133636.7452	651189.9052	6133639.5735
3	651182.3631	6133642.2413	651181.3627	6133639.4131	651185.1337	6133638.0791	651186.1341	6133640.9074
4	651178.5921	6133643.5753	651177.5916	6133640.7470	651181.3627	6133639.4131	651182.3631	6133642.2413
5	651174.8211	6133644.9092	651173.8206	6133642.0810	651177.5916	6133640.7470	651178.5921	6133643.5753
6	651171.0501	6133646.2432	651170.0496	6133643.4149	651173.8206	6133642.0810	651174.8211	6133644.9092
7	651167.2790	6133647.5771	651166.2786	6133644.7489	651170.0496	6133643.4149	651171.0501	6133646.2432
8	651163.5080	6133648.9111	651162.5076	6133646.0828	651166.2786	6133644.7489	651167.2790	6133647.5771
9	651159.7370	6133650.2450	651158.7365	6133647.4168	651162.5076	6133646.0828	651163.5080	6133648.9111
10	651155.9660	6133651.5790	651154.9655	6133648.7507	651158.7365	6133647.4168	651159.7370	6133650.2450
11	651152.1950	6133652.9129	651151.1945	6133650.0847	651154.9655	6133648.7507	651155.9660	6133651.5790
12	651148.4239	6133654.2469	651147.4235	6133651.4186	651151.1945	6133650.0847	651152.1950	6133652.9129
13	651144.6529	6133655.5808	651143.6525	6133652.7526	651147.4235	6133651.4186	651148.4239	6133654.2469
14	651140.8819	6133656.9148	651139.8814	6133654.0865	651143.6525	6133652.7526	651144.6529	6133655.5808
15	651137.1109	6133658.2487	651136.1104	6133655.4205	651139.8814	6133654.0865	651140.8819	6133656.9148
16	651133.3399	6133659.5827	651132.3394	6133656.7544	651136.1104	6133655.4205	651137.1109	6133658.2487
17	651129.5689	6133660.9166	651128.5684	6133658.0884	651132.3394	6133656.7544	651133.3399	6133659.5827
18	651125.7978	6133662.2506	651124.7974	6133659.4223	651128.5684	6133658.0884	651129.5689	6133660.9166
19	651122.0268	6133663.5845	651121.0264	6133660.7563	651124.7974	6133659.4223	651125.7978	6133662.2506
20	651118.2558	6133664.9185	651117.2553	6133662.0902	651121.0264	6133660.7563	651122.0268	6133663.5845
21	651114.4848	6133666.2524	651113.4843	6133663.4242	651117.2553	6133662.0902	651118.2558	6133664.9185
22	651110.7138	6133667.5864	651109.7133	6133664.7581	651113.4843	6133663.4242	651114.4848	6133666.2524
23	651106.9427	6133668.9203	651105.9423	6133666.0921	651109.7133	6133664.7581	651110.7138	6133667.5864
24	651103.1717	6133670.2543	651102.1713	6133667.4260	651105.9423	6133666.0921	651106.9427	6133668.9203
25	651099.4007	6133671.5882	651098.4002	6133668.7600	651102.1713	6133667.4260	651103.1717	6133670.2543
26	651095.6297	6133672.9222	651094.6292	6133670.0939	651098.4002	6133668.7600	651099.4007	6133671.5882
27	651091.8587	6133674.2561	651090.8582	6133671.4278	651094.6292	6133670.0939	651095.6297	6133672.9222
28	651088.0876	6133675.5901	651087.0872	6133672.7618	651090.8582	6133671.4278	651091.8587	6133674.2561
29	651084.3166	6133676.9240	651083.3162	6133674.0957	651087.0872	6133672.7618	651088.0876	6133675.5901
30	651080.5456	6133678.2580	651079.5451	6133675.4297	651083.3162	6133674.0957	651084.3166	6133676.9240
31	651076.7746	6133679.5919	651075.7741	6133676.7636	651079.5451	6133675.4297	651080.5456	6133678.2580
32	651190.7785	6133642.0489	651189.7781	6133639.2206	651193.5491	6133637.8867	651194.5496	6133640.7149
33	651187.0075	6133643.3828	651186.0071	6133640.5546	651189.7781	6133639.2206	651190.7785	6133642.0489
34	651183.2365	6133644.7168	651182.2360	6133641.8885	651186.0071	6133640.5546	651187.0075	6133643.3828
35	651179.4655	6133646.0507	651178.4650	6133643.2225	651182.2360	6133641.8885	651183.2365	6133644.7168
36	651175.6945	6133647.3847	651174.6940	6133644.5564	651178.4650	6133643.2225	651179.4655	6133646.0507
37	651171.9235	6133648.7186	651170.9230	6133645.8904	651174.6940	6133644.5564	651175.6945	6133647.3847
38	651168.1524	6133650.0526	651167.1520	6133647.2243	651170.9230	6133645.8904	651171.9235	6133648.7186
39	651164.3814	6133651.3865	651163.3810	6133648.5583	651167.1520	6133647.2243	651168.1524	6133650.0526
40	651160.6104	6133652.7205	651159.6099	6133649.8922	651163.3810	6133648.5583	651164.3814	6133651.3865
41	651156.8394	6133654.0544	651155.8389	6133651.2262	651159.6099	6133649.8922	651160.6104	6133652.7205
42	651153.0684	6133655.3884	651152.0679	6133652.5601	651155.8389	6133651.2262	651156.8394	6133654.0544
43	651149.2973	6133656.7223	651148.2969	6133653.8941	651152.0679	6133652.5601	651153.0684	6133655.3884
44	651145.5263	6133658.0563	651144.5259	6133655.2280	651148.2969	6133653.8941	651149.2973	6133656.7223
45	651141.7553	6133659.3902	651140.7548	6133656.5620	651144.5259	6133655.2280	651145.5263	6133658.0563
46	651137.9843	6133660.7242	651136.9838	6133657.8959	651140.7548	6133656.5620	651141.7553	6133659.3902
47	651134.2133	6133662.0581	651133.2128	6133659.2299	651136.9838	6133657.8959	651137.9843	6133660.7242
48	651130.4422	6133663.3921	651129.4418	6133660.5638	651133.2128	6133659.2299	651134.2133	6133662.0581
49	651126.6712	6133664.7260	651125.6708	6133661.8978	651129.4418	6133660.5638	651130.4422	6133663.3921
50	651122.9002	6133666.0600	651121.8997	6133663.2317	651125.6708	6133661.8978	651126.6712	6133664.7260
51	651119.1292	6133667.3939	651118.1287	6133664.5657	651121.8997	6133663.2317	651122.9002	6133666.0600
