1	588824.1796	6137279.3078	588823.5983	6137276.3647	588827.5225	6137275.5896	588828.1038	6137278.5327
2	588820.2554	6137280.0829	588819.6741	6137277.1397	588823.5983	6137276.3647	588824.1796	6137279.3078
3	588816.3312	6137280.8579	588815.7499	6137277.9148	588819.6741	6137277.1397	588820.2554	6137280.0829
4	588812.4070	6137281.6330	588811.8257	6137278.6899	588815.7499	6137277.9148	588816.3312	6137280.8579
5	588808.4828	6137282.4081	588807.9015	6137279.4649	588811.8257	6137278.6899	588812.4070	6137281.6330
6	588804.5586	6137283.1831	588803.9773	6137280.2400	588807.9015	6137279.4649	588808.4828	6137282.4081
7	588823.5147	6137282.1148	588822.9334	6137279.1717	588826.8576	6137278.3966	588827.4389	6137281.3398
8	588819.5905	6137282.8899	588819.0092	6137279.9468	588822.9334	6137279.1717	588823.5147	6137282.1148
9	588815.6663	6137283.6650	588815.0850	6137280.7218	588819.0092	6137279.9468	588819.5905	6137282.8899
10	588811.7421	6137284.4400	588811.1608	6137281.4969	588815.0850	6137280.7218	588815.6663	6137283.6650
11	588807.8179	6137285.2151	588807.2366	6137282.2720	588811.1608	6137281.4969	588811.7421	6137284.4400
12	588803.8937	6137285.9902	588803.3124	6137283.0470	588807.2366	6137282.2720	588807.8179	6137285.2151
13	588822.8498	6137284.9219	588822.2685	6137281.9787	588826.1927	6137281.2037	588826.7740	6137284.1468
14	588818.9256	6137285.6969	588818.3443	6137282.7538	588822.2685	6137281.9787	588822.8498	6137284.9219
15	588815.0014	6137286.4720	588814.4201	6137283.5289	588818.3443	6137282.7538	588818.9256	6137285.6969
16	588811.0772	6137287.2471	588810.4959	6137284.3039	588814.4201	6137283.5289	588815.0014	6137286.4720
17	588807.1530	6137288.0221	588806.5717	6137285.0790	588810.4959	6137284.3039	588811.0772	6137287.2471
18	588822.1849	6137287.7289	588821.6036	6137284.7858	588825.5278	6137284.0107	588826.1091	6137286.9538
19	588818.2607	6137288.5040	588817.6794	6137285.5608	588821.6036	6137284.7858	588822.1849	6137287.7289
20	588814.3365	6137289.2790	588813.7552	6137286.3359	588817.6794	6137285.5608	588818.2607	6137288.5040
21	588810.4123	6137290.0541	588809.8310	6137287.1110	588813.7552	6137286.3359	588814.3365	6137289.2790
22	588806.4882	6137290.8292	588805.9069	6137287.8860	588809.8310	6137287.1110	588810.4123	6137290.0541
23	588821.5200	6137290.5359	588820.9387	6137287.5928	588824.8629	6137286.8177	588825.4442	6137289.7609
24	588817.5958	6137291.3110	588817.0145	6137288.3679	588820.9387	6137287.5928	588821.5200	6137290.5359
25	588813.6716	6137292.0861	588813.0903	6137289.1429	588817.0145	6137288.3679	588817.5958	6137291.3110
26	588809.7475	6137292.8611	588809.1662	6137289.9180	588813.0903	6137289.1429	588813.6716	6137292.0861
27	588805.8233	6137293.6362	588805.2420	6137290.6931	588809.1662	6137289.9180	588809.7475	6137292.8611
28	588820.8551	6137293.3430	588820.2738	6137290.3998	588824.1980	6137289.6248	588824.7793	6137292.5679
29	588816.9309	6137294.1180	588816.3496	6137291.1749	588820.2738	6137290.3998	588820.8551	6137293.3430
30	588813.0067	6137294.8931	588812.4255	6137291.9500	588816.3496	6137291.1749	588816.9309	6137294.1180
31	588809.0826	6137295.6682	588808.5013	6137292.7250	588812.4255	6137291.9500	588813.0067	6137294.8931
32	588820.1902	6137296.1500	588819.6089	6137293.2069	588823.5331	6137292.4318	588824.1144	6137295.3749
33	588816.2660	6137296.9251	588815.6847	6137293.9819	588819.6089	6137293.2069	588820.1902	6137296.1500
34	588812.3419	6137297.7001	588811.7606	6137294.7570	588815.6847	6137293.9819	588816.2660	6137296.9251
35	588808.4177	6137298.4752	588807.8364	6137295.5321	588811.7606	6137294.7570	588812.3419	6137297.7001
36	588821.6667	6137301.2314	588821.0854	6137298.2883	588825.0095	6137297.5132	588825.5908	6137300.4564
37	588817.7425	6137302.0065	588817.1612	6137299.0634	588821.0854	6137298.2883	588821.6667	6137301.2314
38	588813.8183	6137302.7816	588813.2370	6137299.8384	588817.1612	6137299.0634	588817.7425	6137302.0065
39	588809.8941	6137303.5566	588809.3128	6137300.6135	588813.2370	6137299.8384	588813.8183	6137302.7816
40	588824.3857	6137303.3701	588823.8044	6137300.4270	588827.7286	6137299.6519	588828.3099	6137302.5950
41	588820.4615	6137304.1452	588819.8802	6137301.2020	588823.8044	6137300.4270	588824.3857	6137303.3701
42	588816.5373	6137304.9202	588815.9560	6137301.9771	588819.8802	6137301.2020	588820.4615	6137304.1452
43	588812.6132	6137305.6953	588812.0319	6137302.7522	588815.9560	6137301.9771	588816.5373	6137304.9202
44	588808.6890	6137306.4704	588808.1077	6137303.5272	588812.0319	6137302.7522	588812.6132	6137305.6953
45	588827.1048	6137305.5088	588826.5235	6137302.5656	588830.4477	6137301.7906	588831.0290	6137304.7337
46	588823.1806	6137306.2838	588822.5993	6137303.3407	588826.5235	6137302.5656	588827.1048	6137305.5088
47	588819.2564	6137307.0589	588818.6751	6137304.1158	588822.5993	6137303.3407	588823.1806	6137306.2838
48	588815.3322	6137307.8340	588814.7509	6137304.8908	588818.6751	6137304.1158	588819.2564	6137307.0589
49	588811.4080	6137308.6090	588810.8267	6137305.6659	588814.7509	6137304.8908	588815.3322	6137307.8340
50	588807.4838	6137309.3841	588806.9025	6137306.4410	588810.8267	6137305.6659	588811.4080	6137308.6090
51	588829.8239	6137307.6474	588829.2426	6137304.7043	588833.1668	6137303.9292	588833.7481	6137306.8724
