651221.0167	6133696.4917	0
651218.8367	6133692.3902	0
651216.7066	6133690.2201	0
651213.8284	6133689.2892	0
651089.3848	6133733.3095	0
651087.0089	6133734.9852	0
651085.6322	6133736.7252	0
651084.7080	6133739.1404	0
651085.0658	6133741.1021	0
651086.1027	6133741.9883	0
651088.2520	6133742.0633	0
651216.4666	6133696.7091	0
651218.3775	6133694.9194	0
651219.0565	6133693.0085	0
651218.8182	6133690.3085	0
651217.2977	6133688.0619	0
651215.5633	6133687.0048	0
651212.9490	6133686.8158	0
651088.5053	6133730.8361	0
651086.1294	6133732.5119	0
651084.7528	6133734.2518	0
651083.8285	6133736.6671	0
651084.1864	6133738.6288	0
651085.2232	6133739.5150	0
651087.3726	6133739.5900	0
651215.5872	6133694.2358	0
651217.4981	6133692.4461	0
651218.1771	6133690.5352	0
651217.9388	6133687.8352	0
651216.4183	6133685.5886	0
651214.6839	6133684.5315	0
651212.0695	6133684.3425	0
651087.6259	6133728.3628	0
651085.2500	6133730.0386	0
651083.8734	6133731.7785	0
651082.9491	6133734.1938	0
651083.3070	6133736.1555	0
651084.3438	6133737.0417	0
651086.4932	6133737.1167	0
651212.8223	6133692.4294	0
